lid,spectrum,sample,exact,z,hb_class_0.1.0,hb_class_0.2.0,hb_c50_sys_0.1.0,hb_c50_sys_0.2.0,hb_delta_c50,hb_bic_margin_0.2.0,hb_n_broad_0.2.0,hb_fit_status_0.2.0,ha_class_0.1.0,ha_class_0.2.0,ha_c50_sys_0.1.0,ha_c50_sys_0.2.0,ha_delta_c50,ha_bic_margin_0.2.0,conti_feop_fwhm_0.2.0,conti_at_bound_0.2.0,feuv_fwhm_fixed_0.2.0,continuum_status_0.2.0
9000000257,spec-2016-53799-0216.fits,Liu+2014,True,0.300,C,C,472.063,466.508,-5.555,6.748,2,success,A,A,383.729,383.048,-0.681,0.542,1200.012,,True,success
9000000257,spec-10251-58173-0063.fits,Liu+2014,False,0.300,C,C,588.707,588.686,-0.021,11.818,3,success,A,A,376.847,376.843,-0.003,2.177,9628.530,feop_norm,True,success
9000000258,spec-1796-53884-0104.fits,Liu+2014,True,0.505,C,C,-311.456,-311.963,-0.507,2.922,2,success,--,,,,,,1404.855,,False,success
9000000260,spec-1697-53142-0009.fits,Liu+2014,True,0.316,F,F,-92.465,-92.484,-0.019,7.988,2,success,F,F,-215.269,-215.276,-0.007,1.959,2626.184,feop_norm,True,success
9000000261,spec-2664-54524-0147.fits,Liu+2014,True,0.394,C,C,898.500,898.465,-0.035,14.414,2,success,--,,,,,,9956.085,feop_norm,True,success
9000000262,spec-0527-52342-0229.fits,Liu+2014,True,0.197,F,F,220.945,221.178,0.233,8.528,2,success,F,F,189.779,189.787,0.008,127.852,4726.284,"feop_norm,feop_shift",False,success
9000000263,spec-1699-53148-0113.fits,Liu+2014,True,0.679,A,A,-754.154,-834.672,-80.518,5.232,1,success,--,,,,,,1635.080,"feuv_fwhm,feuv_shift",False,success
9000000264,spec-0298-51662-0575.fits,Liu+2014,False,0.416,F,F,286.392,286.895,0.503,11.394,2,success,--,,,,,,9257.967,"feop_norm,feuv_shift",True,success
9000000264,spec-0298-51955-0566.fits,Liu+2014,False,0.416,F,F,196.300,196.039,-0.261,3.809,1,success,--,,,,,,3706.244,"feop_norm,feop_shift,feuv_shift",True,success
9000000264,spec-0528-52022-0202.fits,Liu+2014,True,0.416,A,A,363.101,367.188,4.087,16.161,2,success,--,,,,,,10000.000,"feop_fwhm,feop_shift,feuv_shift",True,success
9000000265,spec-1801-54156-0095.fits,Liu+2014,True,0.430,A,A,795.394,799.905,4.511,3.479,1,success,--,,,,,,1244.000,"feop_norm,feuv_shift",True,success
9000000266,spec-1993-53762-0034.fits,Liu+2014,True,0.403,C,C,545.977,540.003,-5.974,13.313,2,success,--,,,,,,1820.774,,True,success
9000000267,spec-2654-54231-0247.fits,Liu+2014,True,0.536,A,A,-370.663,-379.715,-9.052,4.694,1,success,--,,,,,,2347.059,"feuv_fwhm,feuv_shift",False,success
9000000268,spec-0497-51989-0419.fits,Liu+2014,True,0.551,A,A,572.355,708.076,135.721,3.222,2,success,--,,,,,,1388.207,,False,success
9000000269,spec-0299-51671-0133.fits,Liu+2014,True,0.237,A,A,688.627,688.632,0.005,77.599,3,success,A,A,603.588,603.580,-0.008,65.230,2394.498,feop_norm,False,success
9000000270,spec-0960-52425-0069.fits,Liu+2014,True,0.419,F,F,-227.304,-221.333,5.971,10.210,2,success,--,,,,,,1723.388,,True,success
9000000270,spec-0960-52466-0064.fits,Liu+2014,False,0.419,F,F,-169.077,-174.615,-5.537,6.904,2,success,--,,,,,,1642.211,,True,success
9000000270,spec-8199-57428-0482.fits,Liu+2014,False,0.419,C,F,-238.318,-235.395,2.923,2.818,2,success,F,F,-117.460,-115.956,1.504,36.920,1726.508,"feuv_fwhm,feuv_shift",False,success
9000000271,spec-0497-51989-0466.fits,Liu+2014,True,0.128,F,F,164.460,165.516,1.056,2.010,2,success,F,F,119.992,119.437,-0.555,111.345,1553.603,,False,success
9000000272,spec-1701-53142-0200.fits,Liu+2014,True,0.126,C,C,354.519,351.538,-2.981,7.562,2,success,A,A,382.262,382.929,0.667,53.828,1200.000,"feop_fwhm,feop_shift",False,success
9000000273,spec-0787-52320-0348.fits,Liu+2014,True,0.653,C,C,541.036,526.846,-14.190,12.123,2,success,--,,,,,,2587.016,feuv_fwhm,False,success
9000000274,spec-2742-54233-0493.fits,Liu+2014,True,0.810,F,F,-80.553,-79.730,0.822,15.279,1,success,--,,,,,,9997.456,"feop_norm,feuv_fwhm",False,success
9000000275,spec-2742-54233-0543.fits,Liu+2014,True,0.461,A,F,304.425,298.715,-5.710,1.412,1,success,--,,,,,,9956.000,"feop_norm,feuv_fwhm",False,success
9000000276,spec-2770-54510-0399.fits,Liu+2014,True,0.395,F,F,-76.401,-52.486,23.915,11.096,1,success,--,,,,,,1729.121,,True,success
9000000277,spec-1378-53061-0158.fits,Liu+2014,True,0.266,C,B,-814.167,-287.476,526.691,15.369,2,success,C,C,-62.807,-67.936,-5.128,14.320,1941.186,,True,success
9000000277,spec-8848-57875-0832.fits,Liu+2014,False,0.266,W,W,-939.361,-948.204,-8.843,7.368,1,success,C,C,-341.984,-370.832,-28.848,4.855,1654.064,,True,success
9000000278,spec-1378-53061-0527.fits,Liu+2014,True,0.545,A,A,-755.654,-792.631,-36.976,5.312,1,success,--,,,,,,1200.082,"feuv_fwhm,feuv_shift",False,success
9000000278,spec-8392-57483-0097.fits,Liu+2014,False,0.545,A,A,-719.058,-711.289,7.769,0.500,1,success,C,C,-923.500,-929.130,-5.629,14.941,1620.779,"feuv_fwhm,feuv_shift",False,success
9000000279,spec-2743-54259-0026.fits,Liu+2014,True,0.215,C,C,430.993,431.001,0.008,7.929,2,success,F,F,150.621,150.622,0.000,1.633,2437.215,feop_norm,False,success
9000000280,spec-1703-53799-0430.fits,Liu+2014,True,0.382,A,A,336.389,330.093,-6.297,9.730,1,success,C,C,163.372,162.110,-1.261,14.439,1880.016,,True,success
9000000281,spec-1704-53178-0562.fits,Liu+2014,True,0.318,F,F,-13.045,-15.627,-2.582,14.266,2,success,F,F,-113.165,-115.671,-2.506,14.292,1200.000,feop_fwhm,True,success
